acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,time_elapsed,rocket_state,rssi,signal_to_noise
203,8,1001,700,-1470,-420,31,1,-47,11.0
203,9,1000,630,-1400,-560,32,1,-47,11.0
204,8,1000,770,-1470,-490,33,1,-48,11.0
204,8,999,770,-1470,-490,34,1,-47,11.0
205,9,1000,700,-1540,-490,35,1,-48,11.0
203,7,1001,700,-1470,-490,36,1,-47,11.0
203,7,999,770,-1470,-490,37,1,-47,11.0
205,8,1000,700,-1470,-560,38,1,-47,11.0
203,4,1002,630,-1680,-420,39,1,-47,11.0
203,9,1000,770,-1470,-490,40,1,-47,11.0
203,8,1001,700,-1540,-490,41,1,-48,11.0
203,9,1000,700,-1470,-490,42,1,-48,11.0
204,9,1000,700,-1470,-490,43,1,-46,11.0
205,10,999,770,-1470,-420,44,1,-47,11.0
203,7,1002,840,-1400,-490,45,1,-47,11.0
204,8,999,700,-1470,-490,46,1,-47,11.0
207,10,1000,700,-1540,-490,47,1,-49,11.0
204,8,1001,770,-1470,-490,48,1,-48,10.0
205,6,999,770,-1400,-490,49,1,-48,11.0
203,7,1001,700,-1540,-420,50,1,-48,11.0
204,10,1001,700,-1540,-420,51,1,-49,11.0
204,8,1000,770,-1540,-490,52,1,-47,11.0
204,8,1000,770,-1470,-420,53,1,-48,11.0
205,10,1001,630,-1540,-490,54,1,-49,11.0
203,8,1000,770,-1470,-420,55,1,-48,11.0
212,14,1000,770,-1540,-490,56,1,-49,11.0
202,7,1001,770,-1400,-490,57,1,-49,11.0
203,7,1001,770,-1470,-490,58,1,-48,11.0
202,7,1000,700,-1540,-490,59,1,-49,11.0
203,7,1000,700,-1610,-490,60,1,-47,10.0
198,-74,994,980,-2730,2870,61,1,-54,10.0
194,6,988,-1190,70,-560,62,1,-52,11.0
199,11,1002,770,-1400,-420,63,1,-50,11.0
206,16,1001,700,-1400,-420,64,1,-52,10.0
198,15,1001,700,-1540,-490,65,1,-51,11.0
197,14,1000,840,-1400,-490,66,1,-50,11.0
197,13,1000,770,-1470,-490,67,1,-51,11.0
195,16,1002,700,-1400,-490,68,1,-51,11.0
199,13,1001,770,-1470,-490,69,1,-49,11.0
199,14,1001,770,-1470,-490,70,1,-49,10.0
198,13,1002,630,-1470,-490,71,1,-49,11.0
200,14,1001,700,-1470,-490,72,1,-49,10.0
198,14,1001,630,-1400,-490,73,1,-50,10.0
199,14,1002,770,-1470,-490,74,1,-49,10.0
199,14,1001,770,-1470,-490,75,1,-50,11.0
196,14,1001,700,-1540,-420,76,1,-50,10.0
200,14,1001,840,-1400,-490,77,1,-50,11.0
196,14,1002,630,-1540,-490,78,1,-49,11.0
200,12,1002,770,-1470,-490,79,1,-50,11.0
199,13,1003,770,-1470,-490,80,1,-51,11.0
198,15,1000,840,-1540,-420,81,1,-51,11.0
197,13,1003,630,-1470,-490,82,1,-49,10.0
194,15,1001,700,-1470,-490,83,1,-49,11.0
199,15,1002,840,-1400,-490,84,1,-52,11.0
201,15,1001,770,-1470,-490,85,1,-53,11.0
199,15,1001,770,-1470,-490,86,1,-52,11.0
200,15,1000,840,-1400,-490,87,1,-51,11.0
200,14,1001,770,-1400,-490,88,1,-52,11.0
198,12,1001,770,-1400,-490,89,1,-50,11.0
311,-108,800,126000,-294420,-86940,90,1,-59,11.0
764,190,602,-197050,443170,103950,91,1,-58,10.0
208,-29,964,1470,-5530,490,92,1,-52,10.0
202,10,1001,770,-1470,-420,93,1,-53,11.0
201,12,999,770,-1470,-420,94,1,-51,11.0
203,11,1000,770,-1470,-560,95,1,-52,10.0
202,11,1000,770,-1470,-490,96,1,-51,10.0
202,13,1001,770,-1470,-420,97,1,-51,10.0
204,12,1001,770,-1470,-490,98,1,-51,10.0
202,11,999,770,-1400,-420,99,1,-52,10.0
202,12,1002,770,-1470,-490,100,1,-48,11.0
204,11,1000,700,-1470,-490,101,1,-49,10.0
203,12,1000,560,-1540,-420,102,1,-48,11.0
203,12,1000,770,-1540,-490,103,1,-49,11.0
202,11,1000,770,-1470,-420,104,1,-49,10.0
201,12,1001,770,-1400,-490,105,1,-47,11.0
201,11,1001,700,-1540,-420,106,1,-49,10.0
200,10,1001,700,-1470,-490,107,1,-51,11.0
203,12,1001,770,-1470,-490,108,1,-51,10.0
203,10,1000,700,-1470,-490,109,1,-50,10.0
201,12,1000,840,-1540,-560,110,1,-49,10.0
200,11,999,770,-1400,-420,111,1,-50,11.0
203,12,1000,840,-1470,-350,112,1,-49,11.0
202,11,1000,840,-1260,-560,113,1,-49,10.0
201,10,1001,770,-1470,-560,114,1,-51,11.0
201,11,1000,840,-1470,-560,115,1,-52,11.0
203,12,1001,770,-1540,-490,116,1,-52,11.0
202,13,1000,700,-1470,-560,117,1,-52,10.0
204,11,999,770,-1470,-490,118,1,-52,11.0
203,12,1000,770,-1470,-490,119,1,-52,11.0
202,11,1001,770,-1470,-490,120,1,-52,11.0
205,9,999,490,-1890,-350,121,1,-51,11.0
203,11,1000,840,-1400,-490,122,1,-53,10.0
205,10,1001,770,-1540,-560,123,1,-50,10.0
218,1,997,210,-2240,-280,124,1,-48,11.0
200,15,1000,700,-1470,-490,125,1,-47,11.0
210,14,995,700,-1750,-420,126,1,-47,11.0
200,12,1001,700,-1400,-490,127,1,-46,11.0
201,13,1000,700,-1470,-490,128,1,-47,11.0
202,13,1001,770,-1470,-490,129,1,-49,11.0
200,13,1001,840,-1470,-490,130,1,-49,11.0
205,15,1000,700,-1540,-420,131,1,-51,10.0
201,12,1000,770,-1470,-560,132,1,-51,11.0
202,13,1001,770,-1540,-490,133,1,-51,11.0
201,13,1000,700,-1400,-490,134,1,-50,11.0
200,14,1000,770,-1470,-560,135,1,-49,11.0
204,17,1000,630,-1610,-490,136,1,-49,11.0
201,13,1001,770,-1470,-490,137,1,-49,11.0
201,13,1001,700,-1400,-490,138,1,-48,10.0
199,12,1002,840,-1470,-490,139,1,-49,11.0
199,13,1000,700,-1610,-420,140,1,-49,11.0
201,13,1001,700,-1400,-420,141,1,-49,11.0
200,12,1001,770,-1470,-490,142,1,-49,11.0
201,15,1000,770,-1400,-490,157,1,-54,11.0
201,14,1002,770,-1470,-490,158,1,-54,11.0
200,12,1003,770,-1470,-490,159,1,-54,11.0
201,14,999,770,-1400,-490,160,1,-53,11.0
196,20,999,910,-1050,-560,161,1,-56,10.0
200,13,1001,560,-1540,-420,162,1,-56,11.0
204,15,1000,770,-1470,-560,163,1,-55,11.0
200,12,1000,700,-1400,-490,164,1,-58,10.0
195,19,1003,1190,-910,-700,165,1,-67,10.0
204,13,1000,770,-1540,-490,166,1,-54,11.0
