#version,serial,flight,call,time,rssi,lqi,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop
6, 2363, 0,KQ4YGQ,     3.65, -36,   8,   -0.54, 101664.00,  -28.18,    3.98,   -0.00, 30.9, 0.00, 0.00, 3.78,   9.89,  -0.08,   0.94,   1.34,  -8.42,  -0.37,   0.99,   0.58,   1.14,  99.00, 3.78, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,     3.73, -37,   9,   -0.54, 101664.00,  -28.18,    3.98,   -0.00, 30.9, 0.00, 0.00, 3.78,   9.89,  -0.08,   0.94,   1.34,  -8.42,  -0.37,   0.99,   0.58,   1.14,  99.00, 3.78, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,     4.00, -37,   7,   -0.54, 101664.00,  -28.18,    3.98,   -0.00, 30.9, 0.00, 0.00, 3.78,   9.89,  -0.08,   0.94,   1.34,  -8.42,  -0.37,   0.99,   0.58,   1.14,  99.00, 3.78, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,     4.00, -37,   8,   -0.54, 101664.00,  -28.18,    3.98,   -0.00, 30.9, 0.00, 0.00, 3.78,   9.89,  -0.08,   0.94,   1.34,  -8.42,  -0.37,   0.99,   0.58,   1.14,  99.00, 3.78, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,     4.00, -37,   6,   -0.54, 101664.00,  -28.18,    3.98,   -0.00, 30.9, 0.00, 0.00, 3.78,   9.89,  -0.08,   0.94,   1.34,  -8.42,  -0.37,   0.99,   0.58,   1.14,  99.00, 3.78, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,     4.78, -36,   7,   -0.54, 101664.00,  -28.18,    3.98,   -0.00, 30.9, 0.00, 0.00, 3.77,   9.89,  -0.08,   0.94,   1.34,  -8.42,  -0.37,   0.99,   0.58,   1.14,  99.00, 3.78, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,     5.00, -36,   8,   -0.54, 101664.00,  -28.18,    3.98,   -0.00, 30.9, 0.00, 0.00, 3.77,   9.89,  -0.08,   0.94,   1.34,  -8.42,  -0.37,   0.99,   0.58,   1.14,  99.00, 3.78, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,     5.00, -36,   9,   -0.54, 101664.00,  -28.18,    3.98,   -0.00, 30.9, 0.00, 0.00, 3.77,   9.89,  -0.08,   0.94,   1.34,  -8.42,  -0.37,   0.99,   0.58,   1.14,  99.00, 3.78, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,     5.70, -37,   6,   -0.00, 101666.00,  -28.35,    3.82,    0.19, 30.9, 0.00, 0.00, 3.77,   9.88,  -0.08,   0.90,   1.34,  -1.04,  -0.12,   1.00,   0.55,   1.14,  98.00, 3.78, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,     5.78, -37,   9,   -0.00, 101666.00,  -28.35,    3.82,    0.19, 30.9, 0.00, 0.00, 3.77,   9.88,  -0.08,   0.90,   1.34,  -1.04,  -0.12,   1.00,   0.55,   1.14,  98.00, 3.79, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
