acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,time_elapsed,rocket_state,rssi,signal_to_noise
119,-511,927,-13300,20440,8190,178,1,-54,11.0
-434,-570,809,12180,6230,18340,179,1,-49,10.0
-566,-118,336,-49770,-206500,62370,180,1,-41,10.0
-582,79,800,-28700,-38850,7910,181,1,-40,10.0
-422,-225,907,-4480,5390,770,182,1,-42,10.0
38,-261,1011,-59920,-50050,-560,183,1,-48,11.0
168,-24,1030,2240,-2940,-910,184,1,-48,11.0
160,-27,1007,770,-1470,-420,185,1,-47,11.0
160,-25,1005,770,-1610,-420,186,1,-47,10.0
160,-25,1007,910,-1610,-490,187,1,-47,11.0
162,-25,1007,910,-1680,-560,188,1,-48,11.0
159,-20,1003,-840,-140,-140,189,1,-48,11.0
162,-24,1005,560,-1330,-490,190,1,-48,11.0
161,-21,1009,700,-1400,-420,191,1,-48,12.0
165,-24,1007,630,-1330,-420,192,1,-48,11.0
163,-22,1009,420,-1190,-420,193,1,-49,11.0
162,-22,1007,700,-1470,-560,194,1,-49,11.0
163,-23,1008,630,-1400,-420,195,1,-49,11.0
159,-24,1005,1050,-1750,-560,196,1,-50,11.0
163,-24,1006,910,-1610,-490,197,1,-49,11.0
165,-23,1008,1120,-1820,-560,198,1,-50,10.0
328,5,1207,19390,-19810,-10990,199,1,-48,11.0
169,-12,1006,630,-1260,-490,200,1,-49,11.0
172,-12,1007,560,-1260,-420,201,1,-51,11.0
170,-13,1006,280,-1050,-490,202,1,-49,11.0
169,-13,1004,1120,-1890,-630,203,1,-52,10.0
174,-18,1006,350,-1330,-490,204,1,-53,11.0
169,5,1098,5530,-3640,-5600,205,1,-44,10.0
