acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,time_elapsed,rocket_state,rssi,signal_to_noise
-487,-878,147,3290,-4900,-980,224,6,-22,10.0
-474,-899,275,110180,-980,-19600,226,6,-20,11.0
-376,-725,624,-7980,-4410,2100,228,6,-20,11.0
-485,-820,319,9590,-27160,-2380,230,6,-20,11.0
-475,-923,277,-45080,-2310,20440,232,6,-20,11.0
-592,-1060,-76,67830,13510,32900,234,6,-19,11.0
-765,-68,11,-36890,-4900,-61040,236,6,-20,12.0
-493,-965,449,12740,-19110,-14350,238,6,-19,11.0
-464,-897,88,8960,-9870,-5110,240,6,-20,11.0
-864,-479,-55,-88900,-41860,24080,242,6,-26,11.0
-845,-486,95,-8470,-12390,15050,244,6,-24,11.0
-781,-674,268,-26320,51590,-10430,246,6,-25,12.0
-727,-661,215,-17780,3360,1960,248,6,-24,11.0
-663,-715,259,-3430,-770,0,250,6,-23,11.0
-684,-726,231,-3570,-1750,-10290,251,6,-23,11.0
-559,-798,336,9870,9520,-7980,253,6,-25,11.0
-582,-810,204,210,1610,1610,255,6,-25,11.0
-545,-776,209,22260,6440,-14700,256,6,-28,11.0
-619,-771,254,5950,-70,-2660,258,6,-27,11.0
-586,-765,279,3920,-3220,140,259,6,-27,11.0
-624,-739,244,-2590,-2100,3990,260,6,-26,11.0
-645,-732,228,-3850,5250,4410,262,6,-26,11.0
-663,-775,246,490,1820,7070,264,6,-23,11.0
-622,-751,227,1540,9800,-5530,265,6,-22,11.0
-647,-748,155,1680,70,-560,267,6,-22,12.0
-616,-773,178,1540,-3360,-6860,268,6,-23,11.0
-654,-736,179,-420,-210,2800,270,6,-21,11.0
-625,-752,192,630,-490,-140,271,6,-23,11.0
-655,-746,168,-1260,-1330,-210,272,6,-22,11.0
-653,-780,213,9100,-13090,9590,274,6,-21,11.0
-716,-666,230,-1960,3360,-3360,276,6,-21,11.0
-809,-647,177,124040,22960,19250,278,6,-22,12.0
-700,-437,514,-61670,36680,7980,280,6,-25,11.0
-757,-598,243,-15330,-22050,-21700,282,6,-23,11.0
-776,-575,178,-4620,-6860,5320,284,6,-36,11.0
-785,-584,156,-2450,-5670,-4200,286,6,-23,11.0
-767,-626,190,8260,140,-2380,288,6,-22,11.0
-799,-684,175,34930,18340,-16800,289,6,-21,11.0
-529,-472,689,-3360,15190,700,291,6,-26,11.0
-772,-656,234,-27020,-47880,14210,293,6,-23,11.0
-791,-312,505,-23450,32550,-11900,295,6,-28,11.0
-742,-701,40,-22470,-12460,350,297,6,-28,11.0
-773,-640,45,-6440,2520,12950,299,6,-27,11.0
-846,-411,265,22960,36750,14560,301,6,-28,11.0
-869,-459,192,-10500,2660,-1470,303,6,-34,11.0
-856,-520,77,-49630,-36470,-34090,305,6,-29,11.0
-803,-615,76,-6720,1890,-12180,307,6,-27,11.0
-759,-668,92,1190,-2170,1190,309,6,-32,11.0
-767,-637,73,3430,210,2520,310,6,-34,11.0
-833,-621,61,-13370,-32410,8190,311,6,-36,10.0
-683,-779,-21,-89040,-35630,-64120,313,6,-30,11.0
-288,-602,559,6090,16660,-74480,315,6,-20,11.0
112,-779,492,-26670,12600,-26390,317,6,-27,10.0
115,-856,793,21910,5320,16240,319,6,-23,10.0
-61,-850,649,-980,16030,-12250,320,6,-38,10.0
