acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,time_elapsed,rocket_state,rssi,signal_to_noise
44,-24,1021,1120,-1960,0,11,1,-67,7.0
25,-49,1018,280,-980,-910,15,1,-70,9.0
24,-58,1020,700,-1330,-700,16,1,-66,10.0
21,-55,1020,770,-1610,-140,17,1,-68,10.0
18,-54,1020,210,-700,-1050,18,1,-65,10.0
36,-35,1021,630,-980,-560,19,1,-67,9.0
31,-29,1020,560,-1260,-490,20,1,-65,9.0
25,-41,1020,630,-1050,-560,21,1,-66,9.0
17,-43,1019,350,-1470,-700,23,1,-72,8.0
7,-45,1018,1190,-1190,-490,24,1,-78,5.0
12,-64,1018,980,-1400,-490,25,1,-76,8.0
36,-43,1020,700,-1050,-490,26,1,-70,7.0
32,-36,1021,700,-1820,-350,27,1,-70,8.0
35,-64,1021,2030,-2520,1330,28,1,-68,8.0
20,-62,1020,1330,-1960,70,29,1,-71,9.0
25,-52,1020,770,-1820,-420,30,1,-69,10.0
24,-39,1019,-910,-840,-2380,31,1,-76,6.0
27,-60,1021,140,-1050,-700,32,1,-71,5.0
34,-24,1019,-490,-630,-2030,33,1,-75,7.0
37,-33,1020,770,-1470,-140,34,1,-76,8.0
32,-14,1019,1890,-1610,560,35,1,-76,9.0
17,-56,1019,1260,-1540,140,36,1,-76,11.0
18,-66,1018,980,-1610,0,37,1,-74,8.0
5,-76,1019,420,-910,-560,9,1,-81,8.0
11,-64,1019,1890,-1750,700,13,1,-69,7.0
10,-74,1020,770,-1120,-1050,14,1,-68,9.0
26,-30,1019,770,-1330,-980,10,1,-73,8.0
17,-46,1020,420,-1400,-630,14,1,-73,8.0
8,-55,1018,560,-1260,-1120,15,1,-76,10.0
22,-29,1019,-280,-1050,-1120,16,1,-74,11.0
35,-27,1021,70,-490,-1400,10,1,-76,10.0
29,-30,1021,910,-1260,-70,10,1,-68,11.0
23,-46,1019,490,-1190,-840,14,1,-71,10.0
24,-38,1020,70,-1190,-1050,15,1,-69,10.0
31,-38,1020,210,-980,-1120,16,1,-70,11.0
26,-42,1019,1050,-1400,-490,17,1,-70,10.0
38,-51,1021,280,-1540,-420,18,1,-71,10.0
31,-51,1020,560,-1960,-70,19,1,-68,10.0
35,-30,1020,1190,-1050,-280,10,1,-73,8.0
31,-36,1021,560,-1610,-560,9,1,-68,9.0
22,-61,1020,770,-1330,-560,14,1,-69,10.0
21,-50,1019,700,-980,-840,15,1,-67,11.0
13,-49,1019,700,-1680,-420,18,1,-67,10.0
22,-52,1020,700,-1680,-280,20,1,-66,11.0
29,-59,1020,840,-1470,-350,21,1,-67,10.0
15,-54,1019,770,-1750,-420,22,1,-68,11.0
8,-52,1017,980,-1400,-140,23,1,-68,9.0
18,-58,1018,980,-1680,0,25,1,-65,10.0
20,-41,1019,1120,-1890,140,26,1,-66,10.0
13,-37,1018,1260,-1400,0,27,1,-68,8.0
17,-52,1020,980,-1260,-350,28,1,-67,11.0
27,-55,1019,910,-1750,0,29,1,-69,10.0
31,-43,1020,210,-1470,-630,30,1,-67,10.0
26,-37,1019,70,-980,-1260,31,1,-66,9.0
26,-41,1019,1050,-1540,140,32,1,-73,11.0
23,-29,1019,770,-1540,-630,34,1,-71,7.0
9,-45,1021,910,-1820,0,35,1,-69,7.0
14,-58,1018,980,-1750,-140,36,1,-74,9.0
19,-61,1020,910,-1400,-420,37,1,-78,4.0
19,-63,1020,560,-1540,-490,38,1,-74,7.0
11,-55,1019,630,-1400,-630,39,1,-69,5.0
23,-51,1019,280,-1540,-630,40,1,-68,8.0
13,-57,1018,140,-1540,-910,41,1,-69,10.0
27,-22,1019,280,-1120,-840,42,1,-67,7.0
38,-44,1021,1120,-1680,350,43,1,-67,9.0
20,-56,1020,980,-1890,350,44,1,-63,7.0
12,-62,1019,910,-1750,0,45,1,-66,8.0
13,-56,1019,-140,-1120,-1120,46,1,-69,9.0
31,-64,1022,70,-980,-1190,47,1,-69,5.0
28,-39,1019,210,-1190,-770,48,1,-68,3.0
21,-48,1020,630,-1610,-210,49,1,-68,9.0
21,-41,1020,630,-1260,-560,50,1,-67,10.0
12,-51,1019,700,-1610,-140,51,1,-67,9.0
23,-58,1020,910,-1260,-560,52,1,-68,6.0
18,-55,1019,980,-1330,-280,53,1,-68,8.0
19,-52,1018,630,-1680,-630,54,1,-68,9.0
15,-55,1018,980,-1330,-350,55,1,-65,11.0
22,-59,1019,210,-1190,-980,56,1,-68,5.0
21,-47,1019,910,-1610,-490,57,1,-66,8.0
21,-48,1019,840,-1330,-140,58,1,-66,6.0
22,-53,1020,910,-980,-700,59,1,-64,8.0
25,-56,1020,490,-1540,-420,60,1,-67,8.0
27,-43,1020,770,-1470,-280,9,1,-74,1.0
26,-53,1020,490,-1470,-210,12,1,-69,9.0
30,-44,1019,420,-1400,-840,13,1,-78,-4.0
23,-48,1020,630,-1400,-140,14,1,-72,-5.0
29,-48,1020,840,-1540,-280,16,1,-80,10.0
31,-56,1021,770,-1330,-70,17,1,-74,9.0
27,-50,1020,840,-1680,-350,18,1,-76,-2.0
30,-44,1020,630,-1750,-210,20,1,-73,-1.0
28,-50,1020,490,-1330,-630,21,1,-71,-1.0
23,-56,1020,350,-1400,-910,23,1,-77,-1.0
25,-49,1020,770,-1540,-210,24,1,-73,6.0
19,-56,1019,770,-1470,-350,26,1,-67,9.0
21,-41,1018,630,-1190,-560,28,1,-65,9.0
20,-44,1019,1050,-1400,-560,29,1,-63,10.0
23,-53,1020,910,-1610,-140,30,1,-62,8.0
24,-59,1019,-280,-1400,-980,31,1,-73,11.0
26,-54,1019,490,-1540,-560,32,1,-77,9.0
9,-54,1018,560,-1610,-350,33,1,-73,4.0
16,-57,1019,560,-1750,-420,34,1,-71,8.0
14,-58,1018,490,-1120,-910,35,1,-73,8.0
17,-50,1019,840,-1610,-210,36,1,-71,6.0
28,-32,1019,700,-1680,-560,37,1,-72,5.0
16,-35,1019,560,-1400,-420,38,1,-73,-1.0
14,-49,1018,910,-1260,-350,39,1,-75,8.0
28,-53,1020,1120,-1470,140,40,1,-76,5.0
35,-35,1020,840,-1120,-630,41,1,-78,6.0
40,-32,1021,-70,-1050,-1470,43,1,-76,9.0
40,-29,1020,1050,-1400,-70,44,1,-79,10.0
26,-46,1019,1400,-1680,140,45,1,-82,8.0
23,-56,1020,1330,-1680,-70,46,1,-73,11.0
27,-50,1020,910,-1820,70,47,1,-75,8.0
19,-53,1020,910,-1400,-140,48,1,-72,8.0
24,-61,1020,700,-1190,-630,49,1,-73,10.0
25,-60,1020,980,-1540,-140,50,1,-69,9.0
21,-47,1019,280,-1260,-910,9,1,-64,8.0
22,-49,1019,630,-1400,-770,12,1,-66,8.0
23,-52,1020,630,-1400,-490,9,1,-69,9.0
23,-51,1019,700,-1260,-490,12,1,-69,2.0
26,-45,1019,840,-1470,-280,14,1,-73,2.0
17,-56,1020,630,-1470,-420,15,1,-76,-2.0
18,-59,1019,280,-1120,-980,16,1,-68,6.0
21,-48,1019,210,-1120,-980,17,1,-76,8.0
18,-59,1019,700,-1260,-630,19,1,-73,4.0
17,-52,1019,280,-1330,-700,20,1,-67,10.0
26,-56,1020,840,-1540,-350,21,1,-65,10.0
25,-48,1020,770,-1540,-280,22,1,-63,10.0
21,-53,1020,700,-1540,-280,23,1,-65,11.0
27,-44,1021,700,-1470,-210,24,1,-77,1.0
20,-46,1019,770,-1470,-560,9,1,-64,11.0
17,-51,1019,980,-1750,0,11,1,-68,11.0
30,-50,1020,1400,-2030,350,14,1,-69,9.0
19,-46,1019,910,-1890,-140,15,1,-68,10.0
16,-62,1019,1190,-1400,140,16,1,-70,10.0
17,-60,1021,1050,-1470,-210,17,1,-74,10.0
16,-59,1020,700,-1190,-350,18,1,-75,11.0
17,-57,1019,770,-1260,-350,19,1,-61,10.0
27,-47,1019,1050,-1470,-350,9,1,-60,11.0
32,-52,1020,910,-1680,-140,12,1,-62,11.0
25,-58,1019,840,-1680,-210,13,1,-60,11.0
19,-58,1019,1050,-1680,-70,14,1,-61,10.0
25,-57,1020,770,-1820,-280,15,1,-67,9.0
23,-48,1019,560,-1400,-770,16,1,-64,11.0
19,-53,1019,630,-1260,-280,18,1,-63,10.0
26,-52,1020,280,-1400,-770,19,1,-60,11.0
