acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,time_elapsed,rocket_state,rssi,signal_to_noise
-53,-23,1019,1050,-1400,-2590,8,1,-66,11.0
-43,-14,1020,980,-1400,-70,8,1,-68,10.0
-41,-25,1021,840,-1400,1330,10,1,-66,11.0
-49,-20,1017,700,-1610,-70,12,1,-85,-12.0
-43,-21,1020,770,-1400,-210,8,1,-87,-1.0
-42,-18,1020,840,-1470,-70,8,1,-68,10.0
-53,-14,1016,700,-1400,-3290,8,1,-71,10.0
-48,-10,1018,630,-1260,-1120,8,1,-70,11.0
-39,-21,1021,700,-840,-210,8,1,-76,6.0
-48,-24,1019,700,-1260,-4970,8,1,-66,-6.0
-44,-11,1019,630,-1610,70,8,1,-69,8.0
-47,-22,1018,840,-1400,-70,8,1,-74,8.0
35,-101,-600,490,-2800,-69930,8,1,-78,-10.0
51,-55,-364,3290,-1540,-59920,10,1,-80,-10.0
1075,252,-728,-105840,74410,264950,13,1,-82,-13.0
-694,87,-587,-94640,40810,51170,10,1,-85,2.0
-220,-248,-898,-65940,-6090,-189280,8,1,-86,7.0
-962,429,-1243,8610,-4480,-23100,11,1,-76,-7.0
153,-390,-831,37730,89950,38570,12,1,-79,-7.0
559,247,-365,5110,-53270,-55580,8,1,-81,0.0
397,581,-921,44660,37730,63350,10,1,-76,-7.0
153,676,-909,-62510,42910,-334460,8,1,-80,9.0
-1101,628,-758,61880,25550,282450,10,1,-86,1.0
-3,1144,-772,139300,-72310,380380,11,1,-79,8.0
210,-356,-807,-42770,121100,377580,12,1,-84,8.0
50,-598,468,158550,-55650,29960,8,1,-80,1.0
-469,5,1146,-2870,3290,-100660,10,1,-83,10.0
-50,-326,1108,-350,-1400,129710,11,1,-76,-7.0
-112,-139,956,2030,-9240,46620,12,1,-79,6.0
104,77,961,-1680,0,43750,13,1,-79,-3.0
-12,69,969,-1260,-5530,34860,14,1,-77,-1.0
107,-167,1129,3850,-3500,-28910,15,1,-70,2.0
-174,99,1057,5600,280,-31570,16,1,-76,-4.0
-111,68,1029,2240,-7000,-2030,8,1,-83,2.0
-172,77,1027,2450,-10640,39060,10,1,-84,-1.0
220,-85,1104,-2240,-420,-47880,11,1,-84,-1.0
