acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,time_elapsed,rocket_state,rssi,signal_to_noise
12,330,-915,770,-1400,-490,105,1,-29,10.0
11,329,-914,770,-1400,-490,106,1,-29,11.0
10,328,-915,770,-1400,-490,107,1,-28,11.0
12,329,-915,770,-1400,-490,108,1,-28,10.0
10,329,-916,630,-1540,-490,109,1,-29,11.0
11,328,-915,770,-1540,-420,110,1,-30,11.0
11,328,-916,770,-1540,-490,111,1,-30,11.0
11,330,-914,770,-1540,-490,112,1,-30,12.0
12,328,-915,700,-1400,-560,113,1,-28,11.0
11,329,-915,840,-1470,-490,114,1,-26,11.0
10,326,-915,840,-1400,-490,115,1,-28,11.0
12,328,-915,770,-1470,-490,116,1,-24,10.0
12,327,-915,700,-1470,-490,117,1,-23,11.0
12,328,-916,700,-1400,-490,118,1,-24,12.0
16,330,-915,770,-1470,-490,119,1,-25,11.0
13,331,-916,700,-1330,-770,120,1,-25,11.0
10,329,-917,770,-1470,-490,121,1,-25,12.0
12,326,-916,770,-1470,-490,122,1,-26,11.0
8,331,-913,770,-1330,-420,123,1,-26,11.0
5,329,-916,700,-1470,-490,124,1,-27,11.0
13,329,-915,700,-1470,-490,125,1,-26,11.0
9,327,-915,700,-1470,-490,126,1,-27,11.0
10,328,-915,770,-1470,-420,127,1,-27,11.0
15,330,-915,630,-1470,-490,128,1,-26,11.0
13,329,-915,840,-1470,-420,129,1,-26,11.0
10,329,-914,700,-1470,-490,130,1,-26,11.0
11,330,-915,700,-1400,-560,131,1,-26,11.0
11,329,-915,700,-1470,-560,132,1,-28,11.0
12,328,-915,700,-1470,-490,133,1,-27,11.0
12,329,-915,770,-1470,-490,134,1,-26,11.0
11,329,-914,770,-1400,-420,135,1,-26,11.0
12,329,-915,700,-1470,-490,136,1,-26,11.0
15,335,-926,-2240,-13440,7210,137,1,-26,11.0
9,322,-924,1400,-140,-1470,138,1,-26,11.0
7,323,-916,420,-2800,-140,139,1,-26,11.0
6,323,-917,840,-840,-700,140,1,-27,11.0
7,324,-918,700,-1820,-350,141,1,-26,11.0
5,322,-916,770,-1260,-560,142,1,-26,11.0
6,323,-917,700,-1400,-490,143,1,-26,11.0
6,324,-916,700,-1680,-420,144,1,-26,11.0
9,324,-918,770,-980,-840,145,1,-27,11.0
6,323,-917,630,-1190,-420,146,1,-26,11.0
6,323,-917,840,-1470,-560,147,1,-27,11.0
5,323,-917,770,-1400,-490,148,1,-27,11.0
5,325,-914,490,-1330,-280,149,1,-28,11.0
5,323,-916,700,-1470,-560,150,1,-31,12.0
4,322,-915,700,-1400,-630,151,1,-30,11.0
6,324,-917,840,-1470,-420,152,1,-27,11.0
6,323,-916,700,-1400,-560,153,1,-26,11.0
5,323,-916,700,-1400,-420,154,1,-26,11.0
6,323,-916,840,-1470,-560,155,1,-27,11.0
7,326,-922,1120,-1050,-490,156,1,-29,10.0
4,323,-918,840,-1330,-350,157,1,-28,11.0
6,324,-916,770,-1610,-560,158,1,-28,11.0
6,324,-920,840,-1260,-420,159,1,-27,10.0
6,322,-918,840,-1260,-420,160,1,-27,11.0
5,323,-917,700,-1470,-490,161,1,-26,11.0
5,324,-918,770,-1470,-490,162,1,-25,11.0
6,324,-916,770,-1470,-490,163,1,-27,11.0
1,320,-914,560,-1610,-770,164,1,-25,11.0
6,324,-917,840,-1540,-700,165,1,-26,11.0
6,323,-917,630,-1470,-420,166,1,-27,11.0
5,322,-918,840,-1400,-560,167,1,-28,10.0
5,322,-918,770,-1540,-630,168,1,-27,11.0
6,323,-917,700,-1470,-420,169,1,-26,11.0
6,323,-916,700,-1400,-420,170,1,-24,11.0
6,323,-917,770,-1470,-490,171,1,-24,11.0
5,323,-916,630,-1470,-560,172,1,-25,11.0
5,324,-917,770,-1400,-490,173,1,-30,11.0
5,323,-917,700,-1470,-490,174,1,-26,11.0
6,323,-916,770,-1400,-490,175,1,-28,11.0
4,324,-917,700,-1400,-490,176,1,-29,11.0
6,322,-917,770,-1470,-490,177,1,-28,11.0
5,322,-916,700,-1470,-560,178,1,-28,11.0
6,326,-915,770,-1610,-350,179,1,-27,11.0
4,323,-917,630,-1470,-350,180,1,-27,11.0
5,323,-918,770,-1610,-560,181,1,-26,11.0
5,324,-917,770,-1400,-420,182,1,-25,11.0
5,322,-917,840,-1400,-420,183,1,-24,11.0
6,323,-917,1330,-1470,-560,184,1,-24,12.0
7,323,-916,770,-910,-350,185,1,-26,11.0
5,321,-918,770,-1400,-630,186,1,-25,11.0
5,321,-918,770,-1400,-420,187,1,-25,10.0
5,322,-916,770,-1610,-420,188,1,-24,11.0
3,318,-928,1540,-1400,140,189,1,-25,11.0
6,323,-916,630,-1820,-420,190,1,-25,11.0
5,324,-917,700,-1680,-420,191,1,-26,11.0
4,321,-916,630,-1540,-490,192,1,-25,12.0
4,322,-918,700,-1540,-490,193,1,-25,11.0
6,322,-917,700,-1540,-490,194,1,-24,11.0
6,323,-917,770,-1610,-560,195,1,-26,11.0
6,322,-917,770,-1470,-560,196,1,-26,11.0
6,323,-917,770,-1470,-490,197,1,-25,11.0
6,322,-916,770,-1470,-420,198,1,-25,11.0
4,323,-916,700,-1400,-490,199,1,-25,11.0
5,323,-917,770,-1470,-490,200,1,-25,11.0
5,323,-918,700,-1330,-560,201,1,-25,12.0
5,322,-914,1050,-1190,-560,202,1,-26,11.0
6,321,-916,770,-1470,-490,203,1,-26,11.0
4,320,-918,700,-1820,-280,204,1,-27,11.0
6,322,-917,700,-1610,-490,205,1,-26,11.0
5,323,-918,700,-1400,-560,206,1,-26,11.0
6,322,-917,700,-1470,-490,207,1,-28,11.0
6,322,-917,700,-1540,-350,208,1,-27,11.0
6,321,-918,770,-1470,-490,209,1,-25,11.0
-12,323,-919,-210,-2590,-1190,210,1,-26,11.0
13,316,-926,840,1890,-490,211,1,-25,11.0
3,325,-916,490,-2870,210,212,1,-25,11.0
2,320,-915,1330,-420,-700,213,1,-25,11.0
8,322,-917,910,-2030,-910,214,1,-24,11.0
6,323,-917,700,-1540,-700,215,1,-25,11.0
6,322,-917,560,-1470,-420,216,1,-25,11.0
8,323,-916,630,-1330,-350,217,1,-25,11.0
9,323,-917,560,-1820,-280,218,1,-26,11.0
8,323,-917,560,-2030,-210,219,1,-25,12.0
3,322,-916,700,-1960,-490,220,1,-26,11.0
