acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,time_elapsed,rocket_state,rssi,signal_to_noise
31,-107,-973,840,-2310,-350,18391,1,-44,10.0
21,-121,-969,140,-1400,-420,18392,1,-40,11.0
16,-114,-960,840,-1890,-140,18393,1,-37,11.0
48,-108,-962,1260,-3430,-1330,18394,1,-40,11.0
37,-105,-968,840,-560,-140,18395,1,-47,10.0
3,-93,-962,0,420,-490,18396,1,-48,11.0
27,-116,-968,1540,-1400,-140,18397,1,-46,11.0
20,-102,-966,70,-1470,-630,18398,1,-42,11.0
24,-104,-968,910,-1680,0,18399,1,-43,10.0
30,-107,-975,-1540,-1330,-140,18400,1,-46,11.0
37,-108,-974,1260,-1890,-350,18401,1,-47,11.0
16,-91,-967,70,-1750,-770,18402,1,-44,11.0
42,-114,-966,560,-840,-1050,18403,1,-46,9.0
14,-98,-973,700,-2100,-420,18404,1,-41,11.0
48,-104,-967,3570,-770,770,18405,1,-43,11.0
23,-89,-970,420,-1190,-770,18406,1,-42,11.0
34,-83,-964,-700,140,210,18407,1,-39,11.0
24,-79,-977,770,-840,-280,18408,1,-47,11.0
9,-131,-962,350,-910,280,18409,1,-41,11.0
31,-88,-967,2100,-1540,-630,18410,1,-46,10.0
43,-112,-964,-2450,-1400,-1960,18411,1,-44,10.0
22,-94,-979,1120,-1890,770,18412,1,-41,11.0
45,-102,-966,2100,-2800,-210,18413,1,-43,11.0
31,-92,-975,1540,-2520,-140,18414,1,-49,11.0
59,-84,-971,980,1330,-1330,18415,1,-45,10.0
19,-129,-971,-2310,-6300,-1050,18416,1,-43,11.0
28,-99,-975,1400,-3430,-280,18417,1,-43,1.0
25,-104,-968,1190,-3080,-770,18418,1,-43,9.0
38,-73,-970,3780,-2940,0,18419,1,-49,5.0
2,-146,-968,-3640,-1820,-1470,18420,1,-42,1.0
-19,-151,-968,1120,-1260,630,18421,1,-40,7.0
55,-88,-976,840,1190,-700,18422,1,-33,-2.0
9,-133,-962,4900,-1960,-420,18423,1,-36,0.0
-31,-132,-962,1400,-2520,-2590,18424,1,-38,11.0
58,-132,-968,700,-2310,280,18425,1,-46,8.0
-24,-123,-962,3570,-1260,-350,18426,1,-38,11.0
17,-97,-956,1680,420,-1960,18427,1,-45,8.0
32,-66,-961,140,-770,140,18428,1,-36,11.0
42,-64,-988,-1750,-630,490,18429,1,-42,11.0
-7,-95,-962,-1260,-1190,1400,18430,1,-38,12.0
56,-129,-969,1050,280,-560,18431,1,-41,10.0
-13,-84,-976,2450,-700,1890,18432,1,-39,11.0
17,-94,-978,10780,7210,1750,18433,1,-39,11.0
39,-85,-970,-420,-770,840,18434,1,-45,11.0
15,-93,-969,1260,-3080,-1050,18435,1,-49,11.0
42,-111,-970,280,-3500,210,18436,1,-36,11.0
30,-106,-975,-140,-1470,1190,18437,1,-40,11.0
24,-115,-974,0,-2310,-770,18438,1,-40,10.0
19,-116,-971,0,-2590,-980,18439,1,-40,11.0
24,-109,-972,2940,1190,-2170,18440,1,-42,11.0
118,-140,-977,-560,280,-1610,18441,1,-44,11.0
45,-136,-964,10850,-5600,-280,18442,1,-44,11.0
85,-148,-978,2730,-4760,-700,18443,1,-43,11.0
33,-96,-966,1750,-350,-630,18444,1,-39,11.0
47,-107,-967,560,-1470,-420,18445,1,-40,11.0
63,-91,-974,2030,-3570,-140,18446,1,-46,11.0
26,-86,-968,-210,-1680,-770,18447,1,-44,10.0
32,-71,-965,2380,-3010,910,18448,1,-42,11.0
36,-89,-966,420,-1400,-490,18449,1,-44,11.0
39,-91,-975,-70,-1260,350,18450,1,-44,11.0
69,-123,-976,-700,-1470,-630,18451,1,-60,10.0
8,-72,-956,4270,-2310,420,18452,1,-56,11.0
51,-104,-976,1120,-1120,-630,18453,1,-46,11.0
27,-115,-967,-3780,-8470,-2590,18454,1,-45,11.0
29,-65,-973,-3920,-3010,-630,18455,1,-56,10.0
48,-80,-982,-700,-1890,840,18456,1,-44,11.0
42,-88,-975,7490,-3990,140,18457,1,-48,10.0
20,-108,-960,280,-1120,-2100,18458,1,-44,10.0
60,-115,-976,980,-1680,770,18459,1,-45,11.0
28,-95,-966,420,-2030,-1050,18460,1,-51,11.0
125,-40,-1015,9940,-3850,560,18461,1,-40,10.0
31,-120,-973,-6580,1960,-630,18462,1,-52,11.0
47,-129,-963,3290,-3080,280,18463,1,-47,11.0
31,-96,-965,-3010,-490,630,18464,1,-49,10.0
37,-106,-966,-560,-2380,70,18465,1,-49,11.0
69,-111,-969,1330,3290,350,18466,1,-36,10.0
64,-100,-979,-2170,5320,-490,18467,1,-42,11.0
45,-59,-970,-770,910,210,18468,1,-46,11.0
29,-91,-995,1960,-700,280,18469,1,-47,11.0
-14,-96,-974,2030,-3150,-770,18470,1,-50,10.0
41,-65,-980,-2170,-280,-910,18471,1,-51,11.0
0,-159,-958,420,-1470,70,18473,1,-54,10.0
15,-131,-963,2310,-2170,-1610,18474,1,-51,11.0
17,-171,-953,-770,-5880,210,18475,1,-49,10.0
90,-172,-971,-3290,-1960,-350,18476,1,-55,11.0
51,-131,-972,490,-490,-1050,18477,1,-53,11.0
11,-129,-966,2380,-210,0,18478,1,-54,11.0
11,-137,-965,-2380,770,-2520,18479,1,-50,11.0
10,-169,-939,1260,-5040,-2450,18480,1,-50,11.0
8,-128,-959,-1680,280,-840,18481,1,-45,11.0
56,-52,-957,-7980,1470,1680,18482,1,-50,11.0
8,-98,-960,-280,-1750,210,18483,1,-42,11.0
40,-122,-973,700,-700,-490,18484,1,-43,11.0
