acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,time_elapsed,rocket_state,rssi,signal_to_noise
-61,202,995,700,-1470,-420,1408,1,-32,11.0
-62,201,996,770,-1400,-490,1419,1,-33,10.0
-62,205,993,910,-1400,-490,1430,1,-32,11.0
-62,202,996,770,-1470,-560,1441,1,-37,11.0
-59,199,996,700,-1400,-490,1452,1,-39,11.0
-60,200,996,630,-1540,-420,1463,1,-39,12.0
-60,199,996,840,-1330,-560,1474,1,-34,11.0
-61,203,997,630,-1540,-490,1485,1,-32,12.0
-60,202,996,770,-1400,-490,1496,1,-40,12.0
-59,201,996,840,-1400,-490,1506,1,-35,11.0
-61,202,996,700,-1470,-490,1517,1,-32,11.0
-63,202,995,700,-1470,-490,1528,1,-33,11.0
-61,202,996,840,-1400,-420,1539,1,-32,11.0
-61,200,997,770,-1470,-490,1550,1,-35,11.0
-62,202,995,770,-1400,-490,1561,1,-35,11.0
-62,202,995,630,-1470,-560,1572,1,-37,11.0
-60,202,996,490,-1540,-420,1583,1,-37,11.0
-62,201,995,770,-1400,-490,1594,1,-37,11.0
-60,200,995,840,-1400,-490,1605,1,-36,12.0
-58,200,995,910,-1260,-350,1616,1,-39,11.0
-61,201,996,700,-1540,-490,1627,1,-40,11.0
-61,200,995,770,-1470,-490,1638,1,-39,12.0
-61,199,996,770,-1540,-490,1649,1,-38,12.0
-62,200,994,840,-1330,-560,1660,1,-39,11.0
-59,201,995,700,-1470,-490,1671,1,-36,11.0
-64,201,995,770,-1470,-560,1682,1,-36,11.0
-61,197,997,700,-1470,-560,1693,1,-35,12.0
-60,196,997,770,-1400,-560,1704,1,-35,11.0
-61,197,997,630,-1540,-560,1715,1,-35,12.0
-61,200,995,840,-1400,-560,1726,1,-39,10.0
-59,200,996,700,-1540,-490,1737,1,-40,11.0
-61,200,995,700,-1470,-490,1748,1,-41,11.0
-60,200,996,770,-1610,-560,1759,1,-41,12.0
-61,202,994,840,-1330,-490,1770,1,-48,11.0
-61,202,995,840,-1470,-490,1781,1,-34,11.0
-62,205,995,770,-1470,-420,1792,1,-39,12.0
-62,203,994,700,-1610,-490,1803,1,-40,10.0
-61,203,995,910,-1330,-490,1814,1,-42,11.0
-65,199,996,560,-1610,-420,1825,1,-44,11.0
-60,200,996,700,-1610,-490,1836,1,-40,11.0
-63,205,995,630,-1540,-490,1847,1,-40,11.0
-62,201,995,700,-1470,-490,1858,1,-48,11.0
-60,199,996,910,-1400,-560,1869,1,-42,11.0
-63,203,996,630,-1540,-490,1880,1,-38,11.0
-60,201,996,700,-1400,-420,1891,1,-41,11.0
-59,201,996,770,-1400,-490,1902,1,-39,11.0
-60,201,996,840,-1400,-490,1913,1,-38,11.0
-60,200,995,770,-1470,-490,1924,1,-39,10.0
-63,207,997,840,-1400,-490,1935,1,-39,11.0
-59,198,996,700,-1540,-560,1946,1,-38,11.0
-60,200,996,840,-1400,-490,1957,1,-38,11.0
-58,198,997,630,-1540,-420,1968,1,-40,11.0
-60,198,996,770,-1540,-420,1979,1,-38,12.0
-60,200,997,840,-1400,-490,1990,1,-33,11.0
-60,202,994,770,-1400,-490,2001,1,-32,11.0
-60,201,995,700,-1470,-490,2012,1,-32,11.0
-60,204,996,770,-1470,-490,2023,1,-31,11.0
-63,204,996,700,-1470,-490,2034,1,-35,11.0
-67,203,994,630,-1540,-490,2045,1,-34,11.0
-59,198,996,560,-1540,-420,2056,1,-35,12.0
-54,199,996,770,-1470,-420,2067,1,-34,11.0
-59,201,997,700,-1400,-490,2078,1,-34,11.0
-60,201,995,700,-1540,-490,2089,1,-34,10.0
-60,201,996,770,-1470,-490,2100,1,-35,11.0
-61,201,995,700,-1470,-420,2111,1,-35,11.0
-60,201,996,770,-1470,-490,2122,1,-36,11.0
-60,202,996,840,-1470,-490,2133,1,-40,11.0
-60,201,996,560,-1540,-490,2144,1,-43,11.0
-61,199,995,770,-1470,-490,2155,1,-40,11.0
-61,201,995,700,-1540,-420,2166,1,-36,11.0
-60,201,995,700,-1540,-420,2177,1,-39,12.0
-59,208,994,840,-1470,-490,2188,1,-39,11.0
-58,202,995,840,-1470,-490,2199,1,-40,11.0
-61,201,995,700,-1470,-490,2210,1,-41,12.0
-58,204,996,840,-1400,-560,2221,1,-40,11.0
-61,204,994,700,-1400,-490,2232,1,-38,11.0
-60,204,994,700,-1540,-490,2243,1,-36,11.0
-58,197,996,630,-1540,-560,2254,1,-39,12.0
-63,201,995,770,-1400,-490,2265,1,-40,11.0
-59,203,995,840,-1470,-420,2276,1,-40,11.0
-59,201,995,700,-1470,-560,2287,1,-43,11.0
-60,200,996,770,-1400,-490,2298,1,-42,11.0
-60,201,996,700,-1470,-490,2309,1,-41,11.0
-61,200,997,700,-1470,-490,2320,1,-39,11.0
-60,201,996,840,-1400,-490,2331,1,-42,12.0
-61,202,996,770,-1540,-490,2342,1,-40,11.0
-61,200,996,770,-1470,-490,2353,1,-39,11.0
-61,199,996,700,-1400,-420,2364,1,-42,11.0
-61,200,996,770,-1540,-490,2375,1,-53,11.0
-62,200,996,700,-1400,-490,2386,1,-48,11.0
-61,201,996,840,-1470,-490,2397,1,-39,12.0
-61,199,995,770,-1400,-420,2408,1,-37,10.0
-60,201,996,700,-1470,-420,2419,1,-36,11.0
-53,144,984,-9030,1120,-11690,2430,1,-33,10.0
-45,218,932,13370,-29540,-6580,2441,1,-29,11.0
